label,type,size,summary
Desktop Applications Division,ORG,3,"Pete Higgins is an American technologist and venture capitalist. An early employee of Microsoft, Higgins is now a partner and co-founder of the Seattle-based venture capital firm Second Avenue Partners. He serves on the board of directors for the Brookings Institution and was a former trustee of Stanford University, his alma mater.
Prior to founding Second Avenue Partners, Higgins spent 16 years at Microsoft Corporation.  Higgins was a member of the Office of the President, reporting directly to CEO Bill Gates. He was group vice president of the Interactive Media Group at Microsoft from 1996 to 1998.  From 1995 to 1996, he was group vice president of Applications and Content, responsible for Microsoft Office consumer and online applications, desktop finance, hardware and Microsoft Research. From 1992 to 1995, he was senior vice president of the Desktop Applications division, where he was responsible for developing, marketing and localizing Microsoft Office. 
Higgins also serves on advisory boards for the Stanford Woods Institute for the Environment and the Precourt Institute for Energy at Stanford University."
Developer Division,ORG,2,"Developer! Developer! Developer!, more commonly known as DDD, is a series of community conferences aimed at software developers."
IBM,ORG,5,"The International Business Machines Corporation (IBM) is an American multinational information technology company headquartered in Armonk, New York, with operations in over 170 countries. The company began in 1911, founded in Endicott, New York, as the Computing-Tabulating-Recording Company (CTR) and was renamed ""International Business Machines"" in 1924. IBM is incorporated in New York.IBM produces and sells computer hardware, middleware and software, and provides hosting and consulting services in areas ranging from mainframe computers to nanotechnology. IBM is also a major research organization, holding the record for most U.S. patents generated by a business (as of 2020) for 27 consecutive years. Inventions by IBM include the automated teller machine (ATM), the floppy disk, the hard disk drive, the magnetic stripe card, the relational database, the SQL programming language, the UPC barcode, and dynamic random-access memory (DRAM). The IBM mainframe, exemplified by the System/360, was the dominant computing platform during the 1960s and 1970s.
IBM has continually shifted business operations by focusing on higher-value, more profitable markets. This includes spinning off printer manufacturer Lexmark in 1991 and the sale of personal computer (ThinkPad/ThinkCentre) and x86-based server businesses to Lenovo (in 2005 and 2014, respectively), and acquiring companies such as PwC Consulting (2002), SPSS (2009), The Weather Company (2016), and Red Hat (2019). Also in 2015, IBM announced that it would go ""fabless"", continuing to design semiconductors, but offloading manufacturing to GlobalFoundries.
Nicknamed Big Blue, IBM is one of 30 companies included in the Dow Jones Industrial Average and one of the world's largest employers, with (as of 2018) over 350,000 employees, known as ""IBMers"". At least 70% of IBMers are based outside the United States, and the country with the largest number of IBMers is India. IBM employees have been awarded five Nobel Prizes, six Turing Awards, ten National Medals of Technology (USA) and five National Medals of Science (USA)."
Intel,ORG,3,"Intel Corporation  (commonly known as Intel and stylized as intel) is an American multinational corporation and technology company headquartered in Santa Clara, California, in Silicon Valley. It is the world's second largest and second highest valued semiconductor chip manufacturer based on revenue after being overtaken by Samsung Electronics, and is the inventor of the x86 series of microprocessors, the processors found in most personal computers (PCs). Intel ranked No. 46 in the 2018 Fortune 500 list of the largest United States corporations by total revenue. Intel is incorporated in Delaware.Intel supplies processors for computer system manufacturers such as Apple, Lenovo, HP, and Dell. Intel also manufactures motherboard chipsets, network interface controllers and integrated circuits, flash memory, graphics chips, embedded processors and other devices related to communications and computing.
Intel Corporation was founded on July 18, 1968, by semiconductor pioneers Robert Noyce and Gordon Moore (of Moore's law), and is associated with the executive leadership and vision of Andrew Grove. The company's name was conceived as portmanteau of the words integrated and electronics, with co-founder Noyce having been a key inventor of the integrated circuit (microchip). The fact that ""intel"" is the term for intelligence information also made the name appropriate. Intel was an early developer of SRAM and DRAM memory chips, which represented the majority of its business until 1981. Although Intel created the world's first commercial microprocessor chip in 1971, it was not until the success of the personal computer (PC) that this became its primary business.
During the 1990s, Intel invested heavily in new microprocessor designs fostering the rapid growth of the computer industry. During this period Intel became the dominant supplier of microprocessors for PCs and was known for aggressive and anti-competitive tactics in defense of its market position, particularly against Advanced Micro Devices (AMD), as well as a struggle with Microsoft for control over the direction of the PC industry.The Open Source Technology Center at Intel hosts PowerTOP and LatencyTOP, and supports other open-source projects such as Wayland, Mesa3D, Intel Array Building Blocks, Threading Building Blocks (TBB), and Xen."
International Operations,ORG,2,"International Operations (a.k.a. I.O., IO or I/O) is a fictional American Intelligence Agency in Wildstorm comics. I.O. first appeared in WildC.A.T.S. volume 1 #1 (August, 1992) and was created by Brandon Choi and Jim Lee."
MICROSOFT,ORG,2,"Microsoft Corporation is an American multinational technology company with headquarters in Redmond, Washington. It develops, manufactures, licenses, supports, and sells computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. In 2016, it was the world's largest software maker by revenue (currently Alphabet/Google has more revenue). The word ""Microsoft"" is a portmanteau of ""microcomputer"" and ""software"". Microsoft is ranked No. 30 in the 2018 Fortune 500 rankings of the largest United States corporations by total revenue.Microsoft was founded by Bill Gates and Paul Allen on April 4, 1975, to develop and sell BASIC interpreters for the Altair 8800. It rose to dominate the personal computer operating system market with MS-DOS in the mid-1980s, followed by Microsoft Windows. The company's 1986 initial public offering (IPO), and subsequent rise in its share price, created three billionaires and an estimated 12,000 millionaires among Microsoft employees. Since the 1990s, it has increasingly diversified from the operating system market and has made a number of corporate acquisitions, their largest being the acquisition of LinkedIn for $26.2 billion in December 2016, followed by their acquisition of Skype Technologies for $8.5 billion in May 2011.As of 2015, Microsoft is market-dominant in the IBM PC compatible operating system market and the office software suite market, although it has lost the majority of the overall operating system market to Android. The company also produces a wide range of other consumer and enterprise software for desktops, laptops, tabs, gadgets, and servers, including Internet search (with Bing), the digital services market (through MSN), mixed reality (HoloLens), cloud computing (Azure), and software development (Visual Studio).
Steve Ballmer replaced Gates as CEO in 2000, and later envisioned a ""devices and services"" strategy. This unfolded with Microsoft acquiring Danger Inc. in 2008, entering the personal computer production market for the first time in June 2012 with the launch of the Microsoft Surface line of tablet computers, and later forming Microsoft Mobile through the acquisition of Nokia's devices and services division. Since Satya Nadella took over as CEO in 2014, the company has scaled back on hardware and has instead focused on cloud computing, a move that helped the company's shares reach its highest value since December 1999.Earlier dethroned by Apple in 2010, in 2018 Microsoft reclaimed its position as the most valuable publicly traded company in the world. In April 2019, Microsoft reached the trillion-dollar market cap, becoming the third U.S. public company to be valued at over $1 trillion after Apple and Amazon respectively."
Macintosh,ORG,7,"The Macintosh (mainly branded simply as Mac since 1998) is a family of personal computers designed, manufactured and sold by Apple Inc. since January 1984.
The original Macintosh was the first mass-market personal computer that featured a graphical user interface, built-in screen and mouse. (Although the Sinclair QL became available one month before the Macintosh family and thus was technically the first home computer with a graphical user interface, the QL never attained widespread commercial success.) Apple sold the Macintosh alongside its popular Apple II family of computers for almost ten years before they were discontinued in 1993.
Early Macintosh models were expensive, hindering its competitiveness in a market dominated by the Commodore 64 for consumers, as well as the IBM Personal Computer and its accompanying clone market for businesses. Although they were less expensive than the Xerox Alto and other computers with graphical user interfaces that predated the Mac. Macintosh systems found success in education and desktop publishing and kept Apple as the second-largest PC manufacturer for the next decade. In the early 1990s, Apple introduced the Macintosh LC II and Color Classic which were price-competitive with Wintel machines at the time. However, the introduction of Windows 3.1 and Intel's Pentium processor which beat the Motorola 68040 in most benchmarks gradually took market share from Apple, and by the end of 1994 Apple was relegated to third place as Compaq became the top PC manufacturer. Even after the transition to the superior PowerPC-based Power Macintosh line in the mid-1990s, the falling prices of commodity PC components, poor inventory management with the Macintosh Performa, and the release of Windows 95 saw the Macintosh user base decline.
Prompted by the returning Steve Jobs' belief that the Macintosh line had become too complex, Apple consolidated nearly twenty models in mid-1997 (including models made for specific regions) down to four in mid-1999: The Power Macintosh G3, iMac, 14.1"" PowerBook G3, and 12"" iBook. All four products were critically and commercially successful due to their high performance, competitive prices and aesthetic designs, and helped return Apple to profitability. Around this time, Apple phased out the Macintosh name in favor of ""Mac"", a nickname that had been in common use since the development of the first model. Since their transition to Intel processors in 2006, the complete lineup is Intel based. Its current lineup includes four desktops (the all-in-one iMac and iMac Pro, and the desktop Mac Mini and Mac Pro), and two laptops (the MacBook Air and MacBook Pro). Its Xserve server was discontinued in 2011 in favor of the Mac Mini and Mac Pro.
Apple has also developed a series of Macintosh operating systems. The first versions initially had no name but came to be known as the ""Macintosh System Software"" in 1988, ""Mac OS"" in 1997 with the release of Mac OS 7.6, and retrospectively called ""Classic Mac OS"". In 2001, Apple released Mac OS X, a modern Unix-based operating system which was later rebranded to simply OS X in 2012, and then macOS in 2016. The current version is macOS Catalina, released on October 7, 2019. Intel-based Macs are capable of running non-Apple operating systems such as Linux, OpenBSD, and Microsoft Windows with the aid of Boot Camp or third-party software. Apple also produced a Unix-based operating system for the Macintosh called A/UX from 1988 to 1995, which closely resembled contemporary versions of the Macintosh system software. Apple does not license macOS for use on non-Apple computers, however System 7 was licensed to various companies through Apple's Macintosh clone program from 1995 to 1997. Only one company, UMAX Technologies was legally licensed to ship clones running Mac OS 8. Since Apple's transition to Intel processors, there is a sizeable community around the world that specialises in hacking macOS to run on non-Apple computers, which are called ""Hackintoshes""."
Microsoft,ORG,98,"Microsoft Corporation is an American multinational technology company with headquarters in Redmond, Washington. It develops, manufactures, licenses, supports, and sells computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. In 2016, it was the world's largest software maker by revenue (currently Alphabet/Google has more revenue). The word ""Microsoft"" is a portmanteau of ""microcomputer"" and ""software"". Microsoft is ranked No. 30 in the 2018 Fortune 500 rankings of the largest United States corporations by total revenue.Microsoft was founded by Bill Gates and Paul Allen on April 4, 1975, to develop and sell BASIC interpreters for the Altair 8800. It rose to dominate the personal computer operating system market with MS-DOS in the mid-1980s, followed by Microsoft Windows. The company's 1986 initial public offering (IPO), and subsequent rise in its share price, created three billionaires and an estimated 12,000 millionaires among Microsoft employees. Since the 1990s, it has increasingly diversified from the operating system market and has made a number of corporate acquisitions, their largest being the acquisition of LinkedIn for $26.2 billion in December 2016, followed by their acquisition of Skype Technologies for $8.5 billion in May 2011.As of 2015, Microsoft is market-dominant in the IBM PC compatible operating system market and the office software suite market, although it has lost the majority of the overall operating system market to Android. The company also produces a wide range of other consumer and enterprise software for desktops, laptops, tabs, gadgets, and servers, including Internet search (with Bing), the digital services market (through MSN), mixed reality (HoloLens), cloud computing (Azure), and software development (Visual Studio).
Steve Ballmer replaced Gates as CEO in 2000, and later envisioned a ""devices and services"" strategy. This unfolded with Microsoft acquiring Danger Inc. in 2008, entering the personal computer production market for the first time in June 2012 with the launch of the Microsoft Surface line of tablet computers, and later forming Microsoft Mobile through the acquisition of Nokia's devices and services division. Since Satya Nadella took over as CEO in 2014, the company has scaled back on hardware and has instead focused on cloud computing, a move that helped the company's shares reach its highest value since December 1999.Earlier dethroned by Apple in 2010, in 2018 Microsoft reclaimed its position as the most valuable publicly traded company in the world. In April 2019, Microsoft reached the trillion-dollar market cap, becoming the third U.S. public company to be valued at over $1 trillion after Apple and Amazon respectively."
Microsoft Access,ORG,3,"Microsoft Access is a database management system (DBMS) from Microsoft that combines the relational Microsoft Jet Database Engine with a graphical user interface and software-development tools. It is a member of the Microsoft Office suite of applications, included in the Professional and higher editions or sold separately.
Microsoft Access stores data in its own format based on the Access Jet Database Engine.  It can also import or link directly to data stored in other applications and databases.Software developers, data architects and power users can use Microsoft Access to develop application software. Like other Microsoft Office applications, Access is supported by Visual Basic for Applications (VBA), an object-based programming language that can reference a variety of objects including the legacy DAO (Data Access Objects), ActiveX Data Objects, and many other ActiveX components.  Visual objects used in forms and reports expose their methods and properties in the VBA programming environment, and VBA code modules may declare and call Windows operating system operations."
Microsoft Developer Network,ORG,2,"Microsoft Developer Network (MSDN) was the portion of Microsoft responsible for managing the firm's relationship with developers and testers, such as hardware developers interested in the operating system (OS), and software developers developing on the various OS platforms or using the API or scripting languages of Microsoft's applications. The relationship management is situated in assorted media: web sites, newsletters, developer conferences, trade media, blogs and DVD distribution. The life cycle of the relationships ranges from legacy support through evangelizing potential offerings.From January 2020, the website has been fully integrated with Microsoft Docs."
Microsoft Europe,ORG,2,"Microsoft Office, or simply Office, is a family of client software, server software, and services developed by Microsoft. It was first announced by Bill Gates on August 1, 1988, at COMDEX in Las Vegas. Initially a marketing term for an office suite (bundled set of productivity applications), the first version of Office contained Microsoft Word, Microsoft Excel, and Microsoft PowerPoint. Over the years, Office applications have grown substantially closer with shared features such as a common spell checker, OLE data integration and Visual Basic for Applications scripting language. Microsoft also positions Office as a development platform for line-of-business software under the Office Business Applications brand. On July 10, 2012, Softpedia reported that Office was being used by over a billion people worldwide.Office is produced in several versions targeted towards different end-users and computing environments. The original, and most widely used version, is the desktop version, available for PCs running the Windows and macOS operating systems. Office in a browser, previously known as Office Online, is a version of the software that runs within a web browser, while Microsoft also maintains Office apps for Android and iOS.
Since Office 2013, Microsoft has promoted Office 365 as the primary means of obtaining Microsoft Office: it allows use of the software and other services on a subscription business model, and users receive free feature updates to the software for the lifetime of the subscription, including new features and cloud computing integration that are not necessarily included in the ""on-premises"" releases of Office sold under conventional license terms. In 2017, revenue from Office 365 overtook conventional license sales.
The current on-premises, desktop version of Office is Office 2019, released on September 24, 2018."
Microsoft Excel,ORG,6,"Microsoft Excel is a spreadsheet developed by Microsoft for Windows, macOS, Android and iOS. It features calculation, graphing tools, pivot tables, and a macro programming language called Visual Basic for Applications. It has been a very widely applied spreadsheet for these platforms, especially since version 5 in 1993, and it has replaced Lotus 1-2-3 as the industry standard for spreadsheets. Excel forms part of the Microsoft Office suite of software."
Microsoft Mail,ORG,5,"Microsoft Mail (or MSMail/MSM) was the name given to several early Microsoft e-mail products for local area networks, primarily two architectures: one for Macintosh networks, and one for PC architecture-based LANs. All were eventually replaced by the Exchange and Outlook product lines."
Microsoft Money,ORG,2,"Microsoft Money is a personal finance management software program by Microsoft. It has capabilities for viewing bank account balances, creating budgets, and tracking expenses, among other features.  It was designed for computers using the Microsoft Windows operating system, and versions for Windows Mobile were also available (available for Money 2000-2006 on select versions of Windows Mobile, up to, but not including, Windows Mobile 5.0).
Money is no longer being actively developed as a retail program. From its inception in 1991 until its discontinuation in 2009, Microsoft Money was commercial software. Microsoft discontinued sales of the software on June 30, 2009 and removed access to online services for existing Money installations in January 2011. In 2010, Microsoft released a replacement version, called Microsoft Money Plus Sunset, which allows users to open and edit Money data files, but lacks any online features or support. It is available in two editions: Deluxe, and Home & Business.
In 2012, Money returned as a Windows Store app, however this version of Money was designed as a news aggregator for personal finance, investing, and real estate. Other features include stock tracking across the world markets, a mortgage calculator, and a currency converter. It does not have any of the personal accounting and bookkeeping/money management features of the legacy desktop program."
Microsoft Mouse,ORG,3,"The Microsoft Mouse is a computer mouse released by Microsoft in 1983. It is the first mouse released by the company, and it was bundled with Microsoft Word, Notepad, and an on-screen teaching tutorial for an initial price of $195.Nicknamed the ""green-eyed mouse"", the Microsoft Mouse featured a pair of green buttons. It also featured a more curved body than the blockier designs more common of mice at the time. As with other mice at the time, the Microsoft Mouse used a steel ball for tracking.The initial version featured an InPort ISA interface, requiring a Microsoft bus card to be installed in the computer. Later versions were available with DE-9 or DB-25 serial connectors. All versions of the Microsoft Mouse could be used with IBM-compatible and other MS-DOS systems."
Microsoft North America,ORG,2,"The Microsoft Theater (formerly Nokia Theatre L.A. Live) is a music and theater venue in downtown Los Angeles, California, at L.A. Live. The theater auditorium seats 7,100 and holds one of the largest indoor stages in the United States."
Microsoft Office,ORG,3,"Microsoft Office, or simply Office, is a family of client software, server software, and services developed by Microsoft. It was first announced by Bill Gates on August 1, 1988, at COMDEX in Las Vegas. Initially a marketing term for an office suite (bundled set of productivity applications), the first version of Office contained Microsoft Word, Microsoft Excel, and Microsoft PowerPoint. Over the years, Office applications have grown substantially closer with shared features such as a common spell checker, OLE data integration and Visual Basic for Applications scripting language. Microsoft also positions Office as a development platform for line-of-business software under the Office Business Applications brand. On July 10, 2012, Softpedia reported that Office was being used by over a billion people worldwide.Office is produced in several versions targeted towards different end-users and computing environments. The original, and most widely used version, is the desktop version, available for PCs running the Windows and macOS operating systems. Office in a browser, previously known as Office Online, is a version of the software that runs within a web browser, while Microsoft also maintains Office apps for Android and iOS.
Since Office 2013, Microsoft has promoted Office 365 as the primary means of obtaining Microsoft Office: it allows use of the software and other services on a subscription business model, and users receive free feature updates to the software for the lifetime of the subscription, including new features and cloud computing integration that are not necessarily included in the ""on-premises"" releases of Office sold under conventional license terms. In 2017, revenue from Office 365 overtook conventional license sales.
The current on-premises, desktop version of Office is Office 2019, released on September 24, 2018."
Microsoft Press,ORG,10,"Microsoft Press is the publishing arm of Microsoft, usually releasing books dealing with various current Microsoft technologies. Microsoft Press' first introduced books were The Apple Macintosh Book by Cary Lu and Exploring the IBM PC by Peter Norton in 1984 at the West Coast Computer Faire. The publisher has gone on to release books by other recognizable authors such as Charles Petzold, Steve McConnell, Mark Russinovich and Jeffrey Richter.
Following a deal signed in 2009, O'Reilly Media became the official distributor of Microsoft Press books. In 2014, the distributor was changed to Pearson. In July 2016, Microsoft Press editorial staff was laid off."
Microsoft SQL Server,ORG,2,"Microsoft SQL Server is a relational database management system developed by Microsoft. As a database server, it is a software product with the primary function of storing and retrieving data as requested by other software applications—which may run either on the same computer or on another computer across a network (including the Internet).
Microsoft markets at least a dozen different editions of Microsoft SQL Server, aimed at different audiences and for workloads ranging from small single-machine applications to large Internet-facing applications with many concurrent users."
Microsoft Solutions Providers,ORG,3,
Microsoft Word,ORG,4,"Microsoft Word (or simply Word) is a word processor developed by Microsoft. It was first released on October 25, 1983 under the name Multi-Tool Word for Xenix systems. Subsequent versions were later written for several other platforms including IBM PCs running DOS (1983), Apple Macintosh running the Classic Mac OS (1985), AT&T Unix PC (1985), Atari ST (1988), OS/2 (1989), Microsoft Windows (1989), SCO Unix (1994), and macOS (formerly OS X; 2001).
Commercial versions of Word are licensed as a standalone product or as a component of Microsoft Office, Windows RT or the discontinued Microsoft Works suite."
Microsoft Works,ORG,5,"Microsoft Works is a productivity software suite developed by Microsoft, sold from 1987 to 2009. Its core functionality included a word processor, a spreadsheet and a database management system. Later versions had a calendar application and a dictionary while older releases included a terminal emulator. Works was available as a standalone program, and as part of a namesake home productivity suite.  Because of its low cost ($40 retail, or as low as $2 OEM), companies frequently pre-installed Works on their low-cost machines. Works was smaller, less expensive, and had fewer features than Microsoft Office and other major office suites available at the time."
